pkd_code,target,n_train,n_test,mae,rmse,r2,n_features_used,missing_features
46.4,46.4_STL_to_GS,5,2,0.010839919412285584,0.010854504014903461,-1049.2157820997502,8,
46.4,46.4_STC_to_GS_I,5,2,0.01282733438692833,0.012997646356650069,-38.71692551320402,8,
46.4,46.4_LTC_to_GS_I,5,2,0.0006444116118220627,0.0006624798415123534,0.32745001788226213,8,
46.4,46.4_NWC_to_GS,5,2,0.0091895709849006,0.010131598748002749,-4.63973691426568,8,
46.4,46.4_C_to_GS,5,2,0.0052186096517361814,0.005219602638612563,-681.0468628865607,8,
46.4,46.4_INV_to_GS_I,5,2,0.0025951215955607315,0.003154481872394021,-2.0940445075386105,8,
46.4,46.4_REC_to_GS_I,5,2,0.0032675208477882522,0.003955265385824834,-0.42512810493190445,8,
46.4,46.4_REC_to_STL,5,2,0.06149326066583821,0.062080563429059946,-30.091834772829234,8,
46.4,46.4_INV_to_STL,5,2,0.009063091004632706,0.009953400038700547,-0.16042215476120814,8,
46.4,46.4_NWC_to_STL,5,2,0.05027316558881978,0.05361289626131904,-7.365830922927742,8,
46.4,46.4_CF_to_TC,5,2,0.008196814438129026,0.008228947006292784,-118.56796486816589,8,
46.4,46.4_OFE_to_GS,5,2,0.000958087742210715,0.0011159548433191421,-2.803504542773742,8,
46.4,46.4_OFE_to_NP,5,2,0.02817459774521567,0.031494350491074484,-3.779534886355739,8,
46.4,46.4_PPO_to_GS_I,5,2,0.0016441409526443173,0.0019507708187689382,-2.4523101996070324,8,
46.7,46.7_CF,5,2,2021.8263671875002,2178.998880335808,-3.218846958264388,8,
46.7,46.7_EN,5,2,16.514404296875,18.789164825604942,-0.4694390296936035,8,
46.7,46.7_GS,5,2,76276.361875,77000.6781785883,-30.7382032947311,8,
46.7,46.7_GS_I,5,2,72580.419375,73233.40350287849,-31.14190272976741,8,
46.7,46.7_LTC,5,2,1885.5333398437501,2129.9513480094624,-3.62240710660103,8,
46.7,46.7_LTL,5,2,2473.2137109375,2685.6103636220646,-5.582450809925349,8,
46.7,46.7_NP,5,2,304.28861328125004,333.6693409302474,0.7230906323465509,8,
46.7,46.7_PEN,5,2,182.838623046875,183.7225106988798,-103.17889404296875,8,
46.7,46.7_PNPM,5,2,72264.824375,72907.65281884094,-31.14738773103101,8,
46.7,46.7_STC,5,2,1183.6599999999999,1210.2533636916908,-0.045438894749001646,8,
46.7,46.7_STL,5,2,8128.212656249998,8289.749414068783,-14.996485545227443,8,
46.7,46.7_TC,5,2,76688.53437499999,77339.80678687234,-36.05145028729082,8,
46.7,46.7_EN_upadlosci,5,2,11.093801498413086,13.376300829491175,-2.180896424551934,8,
46.7,46.7_Średni CF na firmę,5,2,0.7838532436181556,0.8495589660919742,-2.735673288665684,8,
46.7,46.7_Marża CF (CF Margin),5,2,0.004735033498831427,0.004973442377505818,-7.636851323284832,8,
46.7,46.7_Udział działalności fin. w NP,5,2,0.07184394594679178,0.07199010949010044,-208.4504483574302,8,
46.7,46.7_Relacja CF do NP,5,2,0.2612146839026416,0.2612173063927322,-359.14572922732845,8,
46.7,46.7_GS_dyn,5,2,0.13323467767438807,0.15959742780803998,-4.4637200070433805,8,
46.7,46.7_GS_I_dyn,5,2,0.13366719949272757,0.16322048057630614,-3.9006384539878676,8,
46.7,46.7_NP_dyn,5,2,0.42911644218042855,0.469136276356363,-6.3973608922566445,8,
46.7,46.7_CF_dyn,5,2,0.3890746138232477,0.4048608758456196,-14.8800588885738,8,
46.7,46.7_EN_dyn,5,2,0.024041263817272677,0.030176158627491463,-1.7689352897338968,8,
46.7,46.7_DEBT_to_GS,5,2,0.010796167097373882,0.011589224471339421,-5.790493012742649,8,
46.7,46.7_LTL_to_GS,5,2,0.0043856933615839516,0.004386269800813467,0.02264915413298685,8,
