rok;pkd;liczba_upadlosci
2024;64.9;15
2024;66.1;4
2024;66.2;8
2024;68.1;19
2024;68.2;26
2024;68.3;8
2024;69.1;7
2024;69.2;19
2024;70.1;16
2024;70.2;38
2024;71.1;24
2024;71.2;3
2024;72.1;9
2024;73.1;15
2024;73.2;3
2024;74.1;12
2024;74.2;1
2024;74.3;1
2024;74.9;7
2024;77.1;18
2024;77.3;6
2024;77.4;1
2024;78.1;8
2024;78.2;11
2024;78.3;9
2024;79.1;4
2024;79.9;1
2024;80.1;41
2024;80.3;1
2024;81.1;1
2024;81.2;15
2024;81.3;4
2024;82.1;7
2024;82.2;4
2024;82.3;4
2024;82.9;10
2024;85.1;3
2024;85.3;1
2024;85.5;21
2024;85.6;1
2024;86.1;1
2024;86.2;12
2024;86.9;12
2024;87.2;1
2024;87.3;1
2024;87.9;1
2024;88.9;7
2024;90.0;11
2024;91.0;1
2024;93.1;9
2024;93.2;5
2024;94.9;12
2024;95.1;3
2024;96.0;17
