Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
3,63.1,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność; działalność portali internetowych,63.1,"Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i działalności powiązane"
3,63.1,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność; działalność portali internetowych,63.9,Działalność wyszukiwarek internetowych oraz pozostała działalność usługowa w zakresie informacji
3,63.9,Pozostała działalność usługowa w zakresie informacji,60.3,Działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści
3,63.9,Pozostała działalność usługowa w zakresie informacji,63.9,Działalność wyszukiwarek internetowych oraz pozostała działalność usługowa w zakresie informacji
1,K,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA,L,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA
2,64,"Finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszów emerytalnych",64,"Finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
3,64.1,Pośrednictwo pieniężne,64.1,Pośrednictwo pieniężne
3,64.2,Działalność holdingów finansowych,64.2,Działalność spółek holdingowych i spółek pozyskujących finansowanie na rzecz innych podmiotów
3,64.3,"Działalność trustów, funduszów i podobnych instytucji finansowych",64.3,"Działalność trustów, funduszy i podobnych instytucji finansowych"
3,64.9,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszów emerytalnych",64.2,Działalność spółek holdingowych i spółek pozyskujących finansowanie na rzecz innych podmiotów
3,64.9,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszów emerytalnych",64.9,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
2,65,"Ubezpieczenia, reasekuracja oraz fundusze emerytalne, z wyłączeniem obowiązkowego ubezpieczenia społecznego",65,"Działalność w zakresie ubezpieczeń, reasekuracji oraz funduszy emerytalnych, z wyłączeniem obowiązkowego ubezpieczenia społecznego"
3,65.1,Ubezpieczenia,65.1,Działalność w zakresie ubezpieczeń
3,65.2,Reasekuracja,65.2,Działalność w zakresie reasekuracji
3,65.3,Fundusze emerytalne,65.3,Działalność w zakresie funduszy emerytalnych
2,66,Działalność wspomagająca usługi finansowe oraz ubezpieczenia i fundusze emerytalne,66,"Działalność wspomagająca usługi finansowe, ubezpieczenia i fundusze emerytalne"
3,66.1,"Działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych",66.1,"Działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
3,66.1,"Działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych",66.3,Działalność związana z zarządzaniem funduszami
3,66.2,Działalność wspomagająca ubezpieczenia i fundusze emerytalne,66.2,Działalność wspomagająca ubezpieczenia i fundusze emerytalne
3,66.3,Działalność związana z zarządzaniem funduszami,66.3,Działalność związana z zarządzaniem funduszami
1,L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI
1,L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,M,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI
2,68,Działalność związana z obsługą rynku nieruchomości,55,Zakwaterowanie
2,68,Działalność związana z obsługą rynku nieruchomości,68,Działalność związana z obsługą rynku nieruchomości
3,68.1,Kupno i sprzedaż nieruchomości na własny rachunek,68.1,Działalność związana z obsługą rynku nieruchomości na własny rachunek oraz realizacja projektów budowlanych
3,68.2,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,55.9,Pozostałe zakwaterowanie
3,68.2,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,68.2,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi
3,68.3,Działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie,68.3,Działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie
1,M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",C,PRZETWÓRSTWO PRZEMYSŁOWE
1,M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",N,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
1,M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",O,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA
2,69,"Działalność prawnicza, rachunkowo-księgowa i doradztwo podatkowe",69,"Działalność prawnicza, rachunkowo-księgowa i doradztwo podatkowe"
3,69.1,Działalność prawnicza,69.1,Działalność prawnicza
3,69.2,Działalność rachunkowo-księgowa; doradztwo podatkowe,69.2,Działalność rachunkowo-księgowa; doradztwo podatkowe
2,70,Działalność firm centralnych (head offices); doradztwo związane z zarządzaniem,70,Działalność central (head offices) oraz doradztwo związane z zarządzaniem
2,70,Działalność firm centralnych (head offices); doradztwo związane z zarządzaniem,73,"Działalność w zakresie reklamy, badania rynku i public relations"
3,70.1,"Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych",70.1,Działalność central (head offices)
3,70.2,Doradztwo związane z zarządzaniem,70.2,Doradztwo w zakresie prowadzenia działalności gospodarczej i pozostałe doradztwo w zakresie zarządzania
3,70.2,Doradztwo związane z zarządzaniem,73.3,Działalność w zakresie public relations i komunikacji
2,71,Działalność w zakresie architektury i inżynierii; badania i analizy techniczne,71,Działalność w zakresie architektury i inżynierii; badania i analizy techniczne
3,71.1,Działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne,71.1,Działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne
3,71.2,Badania i analizy techniczne,71.2,Badania i analizy techniczne
2,72,Badania naukowe i prace rozwojowe,72,Badania naukowe i prace rozwojowe
3,72.1,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych,72.1,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych
3,72.2,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych,72.2,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych
2,73,"Reklama, badanie rynku i opinii publicznej",73,"Działalność w zakresie reklamy, badania rynku i public relations"
3,73.1,Reklama,73.1,Reklama
3,73.2,Badanie rynku i opinii publicznej,73.2,Badanie rynku i opinii publicznej
2,74,"Pozostała działalność profesjonalna, naukowa i techniczna",18,Poligrafia i reprodukcja zapisanych nośników informacji
2,74,"Pozostała działalność profesjonalna, naukowa i techniczna",74,"Pozostała działalność profesjonalna, naukowa i techniczna"
2,74,"Pozostała działalność profesjonalna, naukowa i techniczna",80,Działalność detektywistyczna i ochroniarska
3,74.1,Działalność w zakresie specjalistycznego projektowania,74.1,Działalność w zakresie specjalistycznego projektowania
3,74.2,Działalność fotograficzna,18.1,Drukowanie i działalność usługowa związana z poligrafią
3,74.2,Działalność fotograficzna,74.2,Działalność fotograficzna
3,74.3,Działalność związana z tłumaczeniami,74.3,Działalność związana z tłumaczeniami
3,74.9,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana",74.9,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana"
3,74.9,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana",80.0,Działalność detektywistyczna i ochroniarska
2,75,Działalność weterynaryjna,75,Działalność weterynaryjna
3,75.0,Działalność weterynaryjna,75.0,Działalność weterynaryjna
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,C,PRZETWÓRSTWO PRZEMYSŁOWE
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,F,BUDOWNICTWO
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,G,HANDEL HURTOWY I DETALICZNY
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,H,TRANSPORT I GOSPODARKA MAGAZYNOWA
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,K,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE TELEKOMUNIKACJI, PROGRAMOWANIA KOMPUTEROWEGO, DORADZTWA, INFRASTRUKTURY OBLICZENIOWEJ ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,O,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,Q,EDUKACJA
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,R,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,S,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ"
1,N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,T,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA
2,77,Wynajem i dzierżawa,77,Wynajem i dzierżawa
3,77.1,"Wynajem i dzierżawa pojazdów samochodowych, z wyłączeniem motocykli",77.1,Wynajem i dzierżawa pojazdów silnikowych
3,77.2,Wypożyczanie i dzierżawa artykułów użytku osobistego i domowego,77.2,Wypożyczanie i dzierżawa artykułów użytku osobistego i domowego
3,77.3,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych",77.1,Wynajem i dzierżawa pojazdów silnikowych
3,77.3,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych",77.3,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych"
3,77.4,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim",77.4,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim"
2,78,Działalność związana z zatrudnieniem,78,Działalność związana z zatrudnieniem
3,78.1,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników,78.1,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
3,78.2,Działalność agencji pracy tymczasowej,78.2,Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników
3,78.3,Pozostała działalność związana z udostępnianiem pracowników,78.2,Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników
2,79,"Działalność organizatorów turystyki, pośredników i agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane",52,"Magazynowanie, przechowywanie i działalność usługowa wspomagająca transport"
2,79,"Działalność organizatorów turystyki, pośredników i agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane",55,Zakwaterowanie
2,79,"Działalność organizatorów turystyki, pośredników i agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane",56,Działalność usługowa związana z wyżywieniem
2,79,"Działalność organizatorów turystyki, pośredników i agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane",77,Wynajem i dzierżawa
2,79,"Działalność organizatorów turystyki, pośredników i agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane",79,"Działalność organizatorów turystyki, agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane"
2,79,"Działalność organizatorów turystyki, pośredników i agentów turystycznych oraz pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane",82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej
3,79.1,Działalność agentów i pośredników turystycznych oraz organizatorów turystyki,52.3,Pośrednictwo w transporcie
3,79.1,Działalność agentów i pośredników turystycznych oraz organizatorów turystyki,55.4,Pośrednictwo w zakwaterowaniu
3,79.1,Działalność agentów i pośredników turystycznych oraz organizatorów turystyki,77.5,Pośrednictwo w wynajmie i dzierżawie dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
3,79.1,Działalność agentów i pośredników turystycznych oraz organizatorów turystyki,79.1,Działalność agentów turystycznych oraz organizatorów turystyki
3,79.9,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,52.3,Pośrednictwo w transporcie
3,79.9,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,55.4,Pośrednictwo w zakwaterowaniu
3,79.9,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,56.4,Pośrednictwo w zakresie działalności usługowej związanej z wyżywieniem
3,79.9,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,77.5,Pośrednictwo w wynajmie i dzierżawie dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
3,79.9,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,79.9,Pozostała działalność usługowa w zakresie rezerwacji oraz działalności z nią związane
3,79.9,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,82.4,"Pośrednictwo w zakresie działalności wspomagającej prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowane"
2,80,Działalność detektywistyczna i ochroniarska,80,Działalność detektywistyczna i ochroniarska
3,80.1,"Działalność ochroniarska, z wyłączeniem obsługi systemów bezpieczeństwa",80.0,Działalność detektywistyczna i ochroniarska
3,80.2,Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa,80.0,Działalność detektywistyczna i ochroniarska
3,80.3,Działalność detektywistyczna,80.0,Działalność detektywistyczna i ochroniarska
2,81,Działalność usługowa związana z utrzymaniem porządku w budynkach i zagospodarowaniem terenów zieleni,81,Działalność usługowa związana z utrzymaniem porządku w budynkach i zagospodarowaniem terenów zieleni
2,81,Działalność usługowa związana z utrzymaniem porządku w budynkach i zagospodarowaniem terenów zieleni,96,Działalność usługowa indywidualna
3,81.1,Działalność pomocnicza związana z utrzymaniem porządku w budynkach,81.1,Działalność pomocnicza związana z utrzymaniem porządku w budynkach
3,81.2,Sprzątanie obiektów,81.2,Sprzątanie obiektów
3,81.2,Sprzątanie obiektów,96.9,Pozostała indywidualna działalność usługowa
3,81.3,Działalność usługowa związana z zagospodarowaniem terenów zieleni,81.3,Działalność usługowa związana z zagospodarowaniem terenów zieleni
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,18,Poligrafia i reprodukcja zapisanych nośników informacji
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,43,Roboty budowlane specjalistyczne
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,46,Handel hurtowy
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,47,Handel detaliczny
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,53,Działalność pocztowa i kurierska
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,61,Telekomunikacja
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,77,Wynajem i dzierżawa
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,85,Edukacja
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,86,Opieka zdrowotna
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,87,Pomoc społeczna z zakwaterowaniem
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,93,"Działalność sportowa, rozrywkowa i rekreacyjna"
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,95,"Naprawa i konserwacja komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
2,82,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,96,Działalność usługowa indywidualna
3,82.1,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą",18.1,Drukowanie i działalność usługowa związana z poligrafią
3,82.1,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą",82.1,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą"
3,82.2,Działalność centrów telefonicznych (call center),82.2,Działalność centrów telefonicznych (call center)
3,82.3,"Działalność związana z organizacją targów, wystaw i kongresów",82.3,"Działalność związana z organizacją targów, wystaw i kongresów"
3,82.3,"Działalność związana z organizacją targów, wystaw i kongresów",93.2,Działalność rozrywkowa i rekreacyjna
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",43.6,Pośrednictwo w zakresie specjalistycznych usług budowlanych
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",46.1,Sprzedaż hurtowa realizowana na zlecenie
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",47.9,Pośrednictwo w sprzedaży detalicznej
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",53.3,Pośrednictwo w zakresie działalności pocztowej i kurierskiej
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",61.2,Działalność w zakresie odsprzedaży usług telekomunikacyjnych oraz pośrednictwo w telekomunikacji
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",77.5,Pośrednictwo w wynajmie i dzierżawie dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",82.4,"Pośrednictwo w zakresie działalności wspomagającej prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowane"
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana"
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",85.6,Działalność wspomagająca edukację
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",86.9,Pozostała działalność w zakresie opieki zdrowotnej
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",87.9,Pozostała pomoc społeczna z zakwaterowaniem
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",95.4,"Pośrednictwo w naprawie i konserwacji komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
3,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana",96.4,Pośrednictwo w zakresie usług indywidualnych
1,O,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE,P,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE
2,84,Administracja publiczna i obrona narodowa; obowiązkowe zabezpieczenia społeczne,84,Administracja publiczna i obrona narodowa; obowiązkowe ubezpieczenia społeczne
3,84.1,Administracja publiczna oraz polityka gospodarcza i społeczna,84.1,"Administracja publiczna oraz polityka gospodarcza, społeczna i w zakresie ochrony środowiska"
3,84.2,Usługi na rzecz całego społeczeństwa,84.2,Działalność usługowa na rzecz całego społeczeństwa
3,84.3,Obowiązkowe zabezpieczenia społeczne,84.3,Obowiązkowe ubezpieczenia społeczne
1,P,EDUKACJA,Q,EDUKACJA
1,P,EDUKACJA,S,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ"
2,85,Edukacja,85,Edukacja
2,85,Edukacja,93,"Działalność sportowa, rozrywkowa i rekreacyjna"
3,85.1,Placówki wychowania przedszkolnego,85.1,Placówki wychowania przedszkolnego
3,85.2,Szkoły podstawowe,85.2,Szkoły podstawowe
3,85.3,"Gimnazja, szkoły ponadgimnazjalne i szkoły ponadpodstawowe, z wyłączeniem szkół policealnych",85.3,Szkoły ponadpodstawowe i placówki kształcenia policealnego
3,85.4,Szkoły policealne oraz wyższe,85.3,Szkoły ponadpodstawowe i placówki kształcenia policealnego
3,85.4,Szkoły policealne oraz wyższe,85.4,Szkoły wyższe
3,85.5,Pozaszkolne formy edukacji,85.5,Pozostałe formy edukacji
3,85.5,Pozaszkolne formy edukacji,93.1,Działalność związana ze sportem
3,85.6,Działalność wspomagająca edukację,85.6,Działalność wspomagająca edukację
1,Q,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA,R,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA
2,86,Opieka zdrowotna,86,Opieka zdrowotna
3,86.1,Działalność szpitali,86.1,Działalność szpitali
3,86.2,Praktyka lekarska,86.2,Praktyka lekarska i dentystyczna
3,86.9,Pozostała działalność w zakresie opieki zdrowotnej,86.9,Pozostała działalność w zakresie opieki zdrowotnej
2,87,Pomoc społeczna z zakwaterowaniem,87,Pomoc społeczna z zakwaterowaniem
3,87.1,Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską,87.1,Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
3,87.2,Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi,87.2,Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi lub uzależnieniami
3,87.3,Pomoc społeczna z zakwaterowaniem dla osób w podeszłym wieku i osób niepełnosprawnych,87.3,Pomoc społeczna z zakwaterowaniem dla osób starszych lub osób z niepełnosprawnościami ruchowymi
3,87.9,Pozostała pomoc społeczna z zakwaterowaniem,87.9,Pozostała pomoc społeczna z zakwaterowaniem
2,88,Pomoc społeczna bez zakwaterowania,88,Pomoc społeczna bez zakwaterowania
3,88.1,Pomoc społeczna bez zakwaterowania dla osób w podeszłym wieku i osób niepełnosprawnych,88.1,Pomoc społeczna bez zakwaterowania dla osób starszych lub osób z niepełnosprawnościami
3,88.9,Pozostała pomoc społeczna bez zakwaterowania,88.9,Pozostała pomoc społeczna bez zakwaterowania
1,R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ",P,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE
1,R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ",S,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ"
2,90,Działalność twórcza związana z kulturą i rozrywką,90,Działalność twórcza i działalność związana z wystawianiem przedstawień artystycznych
2,90,Działalność twórcza związana z kulturą i rozrywką,91,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą"
3,90.0,Działalność twórcza związana z kulturą i rozrywką,90.1,Działalność twórcza
3,90.0,Działalność twórcza związana z kulturą i rozrywką,90.2,Działalność związana z wystawianiem przedstawień artystycznych
3,90.0,Działalność twórcza związana z kulturą i rozrywką,90.3,Działalność wspomagająca działalność twórczą i związaną z wystawianiem przedstawień artystycznych
3,90.0,Działalność twórcza związana z kulturą i rozrywką,91.3,Działalność w zakresie konserwacji i renowacji oraz pozostała działalność wspomagająca na rzecz dziedzictwa kulturowego
2,91,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą",91,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą"
3,91.0,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą",91.1,Działalność bibliotek i archiwów
3,91.0,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą",91.2,"Działalność muzeów oraz działalność związana z opieką nad zbiorami muzealnymi, miejscami historycznymi i pomnikami"
3,91.0,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą",91.4,Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody
2,92,Działalność związana z grami losowymi i zakładami wzajemnymi,92,Działalność związana z grami hazardowymi
3,92.0,Działalność związana z grami losowymi i zakładami wzajemnymi,92.0,Działalność związana z grami hazardowymi
2,93,"Działalność sportowa, rozrywkowa i rekreacyjna",84,Administracja publiczna i obrona narodowa; obowiązkowe ubezpieczenia społeczne
2,93,"Działalność sportowa, rozrywkowa i rekreacyjna",93,"Działalność sportowa, rozrywkowa i rekreacyjna"
3,93.1,Działalność związana ze sportem,93.1,Działalność związana ze sportem
3,93.1,Działalność związana ze sportem,93.2,Działalność rozrywkowa i rekreacyjna
3,93.2,Działalność rozrywkowa i rekreacyjna,84.2,Działalność usługowa na rzecz całego społeczeństwa
3,93.2,Działalność rozrywkowa i rekreacyjna,93.1,Działalność związana ze sportem
3,93.2,Działalność rozrywkowa i rekreacyjna,93.2,Działalność rozrywkowa i rekreacyjna
1,S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,H,TRANSPORT I GOSPODARKA MAGAZYNOWA
1,S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,T,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA
2,94,Działalność organizacji członkowskich,94,Działalność organizacji członkowskich
3,94.1,"Działalność organizacji komercyjnych, pracodawców oraz organizacji profesjonalnych",94.1,"Działalność organizacji komercyjnych, pracodawców oraz organizacji profesjonalnych"
3,94.2,Działalność związków zawodowych,94.2,Działalność związków zawodowych
3,94.9,Działalność pozostałych organizacji członkowskich,94.9,Działalność pozostałych organizacji członkowskich
2,95,Naprawa i konserwacja komputerów i artykułów użytku osobistego i domowego,95,"Naprawa i konserwacja komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
3,95.1,Naprawa i konserwacja komputerów i sprzętu komunikacyjnego,95.1,Naprawa i konserwacja komputerów i sprzętu (tele)komunikacyjnego
3,95.2,Naprawa i konserwacja artykułów użytku osobistego i domowego,95.2,Naprawa i konserwacja artykułów użytku osobistego i domowego
2,96,Pozostała indywidualna działalność usługowa,53,Działalność pocztowa i kurierska
2,96,Pozostała indywidualna działalność usługowa,96,Działalność usługowa indywidualna
3,96.0,Pozostała indywidualna działalność usługowa,53.2,Pozostała działalność pocztowa i kurierska
