Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
2,23,Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych,29,"Produkcja pojazdów silnikowych, produkcja przyczep i naczep"
2,23,Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych,31,Produkcja mebli
3,23.1,Produkcja szkła i wyrobów ze szkła,23.1,Produkcja szkła i wyrobów ze szkła
3,23.1,Produkcja szkła i wyrobów ze szkła,29.3,Produkcja części i akcesoriów do pojazdów silnikowych
3,23.2,Produkcja wyrobów ogniotrwałych,23.2,Produkcja wyrobów ogniotrwałych
3,23.3,Produkcja ceramicznych materiałów budowlanych,23.3,Produkcja ceramicznych materiałów budowlanych
3,23.4,Produkcja pozostałych wyrobów z porcelany i ceramiki,23.4,Produkcja pozostałych wyrobów z porcelany i ceramiki
3,23.4,Produkcja pozostałych wyrobów z porcelany i ceramiki,31.0,Produkcja mebli
3,23.5,"Produkcja cementu, wapna i gipsu",23.5,"Produkcja cementu, wapna i gipsu"
3,23.6,"Produkcja wyrobów z betonu, cementu i gipsu",23.6,"Produkcja wyrobów z betonu, cementu i gipsu"
3,23.7,"Cięcie, formowanie i wykańczanie kamienia",23.7,"Cięcie, formowanie i wykończanie kamienia"
3,23.9,"Produkcja wyrobów ściernych i pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana",23.9,"Produkcja wyrobów ściernych i wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana"
2,24,Produkcja metali,24,Produkcja metali
3,24.1,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",24.1,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych"
3,24.2,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali",24.2,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali"
3,24.3,Produkcja pozostałych wyrobów ze stali poddanej wstępnej obróbce,24.3,Produkcja pozostałych wyrobów ze stali poddanej wstępnej obróbce
3,24.4,Produkcja metali szlachetnych i innych metali nieżelaznych,24.4,Produkcja metali szlachetnych i innych metali nieżelaznych
3,24.5,Odlewnictwo metali,24.5,Odlewnictwo metali
2,25,"Produkcja metalowych wyrobów gotowych, z wyłączeniem maszyn i urządzeń",25,"Produkcja metalowych wyrobów gotowych, z wyłączeniem maszyn i urządzeń"
2,25,"Produkcja metalowych wyrobów gotowych, z wyłączeniem maszyn i urządzeń",28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana"
3,25.1,Produkcja metalowych elementów konstrukcyjnych,25.1,Produkcja metalowych elementów konstrukcyjnych
3,25.2,"Produkcja zbiorników, cystern i pojemników metalowych",25.2,"Produkcja zbiorników, cystern i pojemników metalowych"
